locus_of_control,self_concept,motivation,read,write,math,science
-0.11,0.25,1,44.2,44.3,45.6,39
0.71,0.03,1,46.9,61.9,46.2,60.7
-1.58,0.56,0.67,49.5,33.3,48.7,44.4
-0.21,-1.13,0,38.9,41.1,43.6,55.3
0.48,-0.82,0.33,62.7,64.5,58.2,61.8
0.26,0.03,1,62.7,59.3,53.2,63.4
0.75,-0.49,0.33,41.6,41.1,41.2,44.4
0.06,0.03,1,54.8,41.1,42.8,47.1
-0.84,-0.18,0,33.6,46.3,38.4,36.3
1.36,0.65,1,46.9,51.5,57,49.8
0.23,0.94,1,57.4,67.1,57.9,60.7
-0.44,-0.78,1,58,48.9,43.8,44.4
-0.38,0.03,1,60.1,54.1,58,58
-0.18,0.03,0.67,44.2,48.9,56.3,41.7
1.13,0.63,0.67,60.1,64.5,57.9,60.7
-0.4,0.03,0,44.2,33.3,47.8,44.4
1.16,1.19,1,60.1,59.3,55.3,58
0.06,0.28,1,65.9,63.2,50.3,60.1
0.46,0.03,0.67,54.8,64.5,58.6,55.3
0.28,1.19,1,56.4,59.3,38.5,55.3
1.13,0.03,0.33,43.2,54.1,54.8,55.3
0.3,-1.09,0,51.1,56.7,55.3,47.7
0.27,-2.52,0.33,38.9,32,35.3,46.6
-1.05,-0.34,0.67,44.2,38.5,41.4,42.3
1.13,0.03,0.67,62.7,64.5,64.5,52.6
0.06,0.03,0,46.9,51.5,57.2,52.6
-0.4,-1.34,1,57.4,61.9,55.5,49.8
0.91,0.03,1,60.6,59.3,49.4,44.4
-0.17,0.03,0.67,44.2,59.3,45.7,55.3
0.68,0.25,1,44.2,51.5,36.9,49.8
0.33,0.28,0.67,52.1,46.3,48.1,55.3
-0.16,-0.53,0.67,62.7,61.9,67,66.1
0.68,0.87,1,54.8,56.7,56.9,58
-1.09,0.03,0.33,46.9,43.7,41.9,41.7
0.28,0.03,1,73.3,64.5,68,63.4
0.47,0.34,0.67,33.6,43,41,49.8
0.46,0.34,1,52.1,46.3,50.4,52.6
-0.4,-0.89,0.33,41.6,56.7,45,50.4
-1.28,0.34,0.33,31,35.9,46.1,39
0.46,-0.47,0.67,68,64.5,70.6,68.8
-0.38,0.56,1,33.6,36.5,45.7,39
-0.03,0.87,1,53.2,46.3,43,41.7
0.49,0.94,1,54.8,56.7,63.8,60.7
0.11,-1.42,1,60.1,59.3,62.1,60.7
-2.23,1.19,0.33,44.2,38.5,41.2,49.8
1.13,0.03,0.33,45.8,41.7,43.1,53.6
0.47,0.34,0.67,44.2,48.9,48,39
0.22,-0.28,0,36.3,48.9,39.5,41.7
0.68,-0.26,1,62.7,61.9,56.2,47.1
-0.71,-2.29,0.33,65.4,64.5,63.7,58
0.2,-0.47,0.33,38.9,38.5,53,52.6
0.48,0.32,1,49.5,54.1,38.7,49.8
0.91,-0.47,0.67,57.4,59.3,57.2,59.1
0.06,0.03,0.67,54.8,54.1,47.1,49.8
0.02,0.03,0.33,41.6,35.9,37.7,41.7
0.46,0.94,0.33,36.3,30.7,44.8,39.6
-0.89,-1.23,1,44.2,48.9,43.8,35.2
0.46,0.32,0.67,49.5,54.1,47.8,60.7
0.26,0.03,1,49.5,35.9,47.8,52.6
-0.27,0.88,1,52.1,64.5,60.6,60.7
-0.93,0.65,1,47.4,45.6,49.4,42.3
0.46,-1.11,0.33,65.4,67.1,67,66.1
0.23,-0.76,1,65.4,64.5,59.6,66.1
0.96,0.87,1,57.4,64.5,48,47.1
-0.36,-1.67,1,44.2,43.7,56.4,58
0.06,0.32,0,60.1,54.1,49.9,49.8
0.22,-0.76,1,31,41.1,49.2,33.6
-1.05,0.28,0.67,62.7,64.5,66.3,58
-0.19,-1.67,0,42.1,39.8,42.2,38.5
-1.33,0.03,0.67,41.6,30.7,56.9,47.1
0.21,-0.28,0.67,46.9,41.1,53.6,41.7
-0.44,1.19,1,60.1,54.1,59.6,55.3
-0.23,0.44,0.33,33.6,35.2,40.9,29.3
0.32,-0.88,0.33,57.4,54.1,42.2,44.4
-0.93,-0.22,0.67,65.4,64.5,65.5,60.7
0.48,0.03,1,60.1,46.3,51.4,52.6
-1.81,-0.64,1,41.6,54.1,46.9,47.1
0.71,-0.05,0.67,52.7,47.6,52.2,45
-0.54,-0.59,1,38.9,35.9,38.4,33.6
0.1,0.03,0,62.7,48.9,42.1,66.1
0.26,0.94,1,60.1,59.3,51.8,53.1
1.11,0.34,1,73.3,67.1,62.3,58
-0.84,-2.6,0.33,44.2,64.5,53,55.3
0.02,-2.03,0.67,38.9,59.3,39.5,39
0.66,-0.47,0.67,54.8,59.3,50.6,60.7
0.27,0.03,0.67,46.9,56.7,63.8,55.3
0.45,0.03,0.67,41.6,25.5,44.3,36.3
0.55,0.34,1,62.7,61.9,72.9,63.4
0.46,0.65,1,68,54.1,63,63.4
-0.37,-0.47,0.67,41.6,48.9,42.6,49.8
-0.4,-1.09,0.67,62.7,43.7,47.1,52.6
0.55,0.63,1,54.8,59.3,62.3,58
0.87,0.87,0.67,57.4,61.9,62.8,55.3
0.68,0.34,1,57.4,56.7,62.8,58
0.71,0.03,0.67,41.6,59.3,41.9,44.4
-1.33,0.03,1,41.6,48.9,33.7,44.4
0.24,-0.35,1,30.5,35.9,36.9,33.6
0.43,-0.47,1,42.6,50.8,44.6,39
0.65,-0.3,1,60.1,61.9,74.6,58
0.75,-0.26,0.67,41.6,35.9,42,31.4
0,-0.82,0.67,54.8,67.1,63.8,49.8
0.06,0.28,1,44.2,54.1,47.1,58
0.02,-1.05,0.33,60.1,64.5,61.2,60.7
0.32,0.28,0.67,62.7,63.2,68.9,74.2
-0.88,-0.29,0.33,44.2,54.1,41,49.8
0.43,-0.05,0.67,54.8,45.6,51.8,60.7
-1.28,-1.05,0.33,57.4,43.7,57.8,60.7
-0.35,-0.89,0,49.5,67.1,66.4,66.1
-0.16,-2.58,1,52.1,59.3,58.1,52.6
-0.16,-0.47,0.67,36.3,61.9,52.2,39
0.7,-0.16,1,49.5,61.9,50.9,46.1
0.55,-0.24,0.67,46.9,56.7,54.6,47.1
1.12,-0.74,0.67,31,41.1,36,36.9
0,0.65,1,54.8,64.5,51.1,49.8
-0.65,-1.17,0,36.3,30.7,45.9,36.3
0.66,0.03,0.33,65.4,59.3,67.1,66.1
-0.47,-0.47,0,52.1,57.3,63.7,58
0.52,0.34,1,52.1,54.1,51.4,49.8
-0.38,0.03,1,45.3,38.5,43.5,40.1
-0.83,0.13,1,41.6,35.9,36.7,36.3
0.67,-0.59,0.67,54.8,64.5,55.3,49.8
0.06,0.03,1,68,61.9,55.5,49.8
0.27,0.34,1,49.5,48.9,48,41.7
-0.16,-0.45,0.67,49.5,54.1,61.9,52.6
-0.21,0.03,1,41.6,43.7,51.1,49.8
-0.68,0.32,0.67,36.3,44.3,34.4,47.1
1.16,0.59,1,36.3,45,44.3,39
1.13,0.87,1,76,62.5,60,67.2
-0.89,-0.18,0.67,44.2,43.7,44.5,41.7
0,0.03,0.67,61.1,61.2,62.2,57.4
0.22,-0.76,0.67,45.8,52.1,54.9,44.4
0.46,-0.22,1,70.7,64.5,68.7,58
0.48,0.63,1,54.8,48.2,58.7,51.5
0.06,0.03,1,57.4,54.1,58.9,47.1
-0.89,-1.29,0.33,60.1,64.5,41,52.6
-0.69,-1.13,0.67,46.9,54.1,45.4,44.4
-0.14,-0.86,0,38.9,46.3,50.1,36.3
0.07,0.34,1,65.4,59.3,51.2,60.7
0.68,0.03,1,44.2,48.9,46.2,47.7
0.2,-2.54,0,54.8,61.9,63.6,63.4
-0.04,0.65,1,44.2,44.3,61.1,49.8
-0.44,-0.84,0.33,46.9,46.3,45.9,37.9
0.73,0.03,1,65.4,59.3,69.6,63.4
0.06,-0.28,1,65.9,64.5,54.6,60.7
0.2,0.56,0.67,60.1,52.8,51.5,58
0.68,0.03,1,65.4,67.1,64.5,60.7
0.68,-0.6,0.33,52.1,64.5,59.7,55.8
0.02,0.28,0.67,44.2,51.5,52.9,52.6
0.68,-0.53,1,48.4,48.2,60.5,60.1
-0.18,-1.09,0.67,62.7,56.7,58.8,71.5
1.36,0.65,0.67,59,56.7,52.9,48.8
-1.33,-0.26,0.67,38.4,37.2,33.4,30.9
0.06,0.44,0.67,52.1,61.9,66.3,47.1
0.91,0.15,0,54.8,56.7,55.5,58
0.06,-0.29,0.67,49.5,56.7,68.1,49.8
-0.42,0.03,0.33,46.9,35.9,41.9,36.3
0.02,-0.32,1,46.9,46.3,52,47.7
0.32,1.19,1,57.4,61.9,64,55.8
0.22,0.03,0.67,60.1,41.7,52,52.6
-0.67,-0.47,0,44.2,48.9,43.1,55.3
0.48,0.03,1,65.4,61.9,60.4,63.4
0.89,0.34,0.33,57.4,61.9,72.2,60.7
-1.33,0.03,0.67,57.4,56.7,59.8,58
-1.06,0.03,0.67,46.9,56.7,48,44.4
0.89,0.15,0.67,68,59.3,56.6,50.4
-0.19,-2.58,0,41.6,54.1,41,41.7
-1.33,0.34,0,44.2,41.1,36.9,41.7
0.51,0.03,0.33,60.1,51.5,53.9,63.4
1.36,0.63,1,62.7,61.9,68.6,68.8
-0.27,0.94,0,44.7,54.1,50.4,45
-0.22,-2.27,0,57.4,51.5,40.3,60.7
0.69,0.05,0.67,60.1,59.3,57.9,40.6
1.13,0.56,1,60.1,48.9,50.4,55.3
-0.44,-0.47,0.33,38.9,46.3,41.9,41.7
1.36,-1.18,1,62.7,61.9,63.1,60.7
0.44,0.65,1,46.9,46.3,48.5,32.5
0.06,0.65,0,65.4,59.3,56.8,46.1
-0.24,-0.16,0.33,62.7,61.9,52.4,47.1
0.27,0.03,1,60.1,51.5,48.1,52.6
0.46,0.03,0.67,62.7,54.1,54.8,55.3
-1.14,-0.06,1,36.3,46.3,36.9,41.7
0.46,-0.28,1,57.4,56.7,56.4,63.4
0.22,1.19,0.33,38.9,33.3,37.7,47.1
1.16,0.63,0.67,58.5,54.1,46.3,48.2
1.16,0.03,1,70.7,67.1,61.2,60.7
1.36,-0.8,0.67,52.1,59.3,59.6,59.1
0.08,-0.24,0.33,52.1,59.3,48,55.3
-0.4,0.65,0,52.1,46.3,51.3,58
0.31,1.19,1,46.9,44.3,41.9,39
-0.61,0.34,0.67,68,54.1,74.6,66.1
-1.33,0.03,0.33,38.9,30.7,40.4,39
0.71,0.28,1,60.1,64.5,63,68.8
0.28,0.94,1,54.8,56,43.5,49.8
0.91,-0.47,1,46.9,64.5,55.8,61.8
-1.1,0.03,0,46.9,40.4,42.8,45
-0.4,-0.22,0.67,52.1,38.5,36.1,44.4
0.06,0.03,1,46.9,41.1,46.2,39.6
1.16,0.32,1,60.1,54.1,48.6,58
0.05,-0.88,0.67,62.7,63.2,74.6,71.5
1.36,0.03,0.67,46.9,59.3,56.3,66.1
0.26,0.87,1,49.5,61.9,61.4,63.4
0.06,0.03,0,44.2,33.3,53.9,58
0.52,0.59,1,68,59.9,64,68.8
-0.43,-1.22,0,41.6,46.9,55.5,44.4
0.89,0.88,1,52.1,59.3,64,61.2
0.06,0.03,1,44.2,54.1,51.4,39
0.02,0.03,0.67,65.4,56.7,62.3,58.5
-0.6,0.28,1,33.6,41.1,42.9,41.7
0.03,0.28,0.33,52.1,54.1,52,55.3
1.14,0.63,1,55.3,53.4,44.5,53.6
0,0.34,0.33,46.9,56.7,57.2,58
-0.44,0.03,0.33,41.6,38.5,38.7,56.3
0.71,-0.55,1,60.1,59.3,64.3,60.7
0.25,-0.47,0.33,76,67.1,72.2,66.1
0.06,0.32,1,62.7,64.5,70.5,68.8
0.06,0.56,1,49.5,56.7,46.2,55.3
-0.18,0.15,0,38.9,28.1,36,36.3
-0.83,0.65,0.33,44.2,59.3,55.5,36.3
-0.84,0.34,0,41.6,46.3,59.6,63.4
0.06,0.03,0.33,68,59.3,71.3,66.1
0.7,-0.16,0.33,68,59.3,55.7,63.4
0.22,1.19,1,57.4,54.1,48.8,55.3
0.32,0.9,0.67,33.6,51.5,41.9,49.8
-0.6,0.56,0.33,36.3,43.7,44.3,47.1
1.16,0.09,1,46.9,52.1,42.5,47.7
0.45,-0.91,0.33,41.6,41.1,42.8,49.8
-0.2,1.19,1,41.6,46.9,41.7,47.1
0.22,-0.57,1,61.1,67.1,64.5,50.4
0.03,0.03,1,41.6,43,44.5,39
0.52,0.34,1,46.9,64.5,59.6,49.8
0.32,0.65,1,54.8,61.9,58.1,58
0.68,0.03,0.33,73.3,64.5,64,60.7
0.96,0.94,0.67,46.9,50.2,46.5,47.1
-0.6,0.9,0.67,46.9,61.9,45.4,33.6
0.71,0.03,1,68,61.9,72.2,66.1
0.75,0.34,1,47.4,41.7,51.6,38.5
0.46,-0.18,1,52.1,46.3,48.3,58
0.46,0.34,0.67,62.7,61.9,52.9,44.4
-0.45,-0.64,0.33,65.4,56.7,55.2,52.6
-0.19,1.19,1,60.1,61.9,54.6,60.7
-1.33,0.03,1,36.3,28.1,53.7,33.6
-0.38,0.03,1,38.9,41.7,37.7,44.4
0.45,0.03,1,49.5,46.3,52.9,52.6
0.06,0.03,0,38.9,41.1,32.7,41.7
-0.18,0.28,0.33,44.2,51.5,46.1,47.1
0.66,0.34,0.33,33.6,38.5,42.9,47.1
0.71,0.03,0.33,46.9,46.9,41,41.7
0.06,0.03,0.67,46.9,60.6,51.3,63.4
0.23,-0.6,1,57.4,67.1,68,59.1
-0.24,0.03,0.67,45.8,54.1,49.5,47.1
1.11,0.9,0.33,55.3,50.2,41.7,58.5
0.68,0.88,1,46.9,61.9,53,52.6
0.66,0.34,1,56.9,49.5,49.5,50.9
1.16,0.65,1,65.4,67.1,63.1,55.3
-0.44,-0.47,1,54.8,65.1,66.1,49.8
-0.14,-0.6,0.33,44.2,48.9,54.3,49.8
0.46,0.56,0.67,44.2,54.1,52.2,44.4
-0.68,-0.26,0,60.1,51.5,56.8,60.7
0.46,0.34,1,76,52.1,64.1,63.9
0.46,-0.47,0.67,50,41.1,45.1,44.4
-0.41,0.03,0.67,49.5,51.5,45.1,58
-0.6,-0.26,0.67,49.5,41.1,38.4,52.6
-0.51,-1.98,0,60.1,57.3,58.8,58
1.13,-0.6,0.67,73.3,67.1,71.3,63.4
1.13,0.88,0.33,49.5,51.5,52.7,55.3
0.89,0.65,0.67,68,48.9,56.3,63.4
0.06,0.03,1,43.2,47.6,45.6,47.1
-0.6,-1.43,1,38.9,51.5,38.6,39
0.46,-1.17,0,68,62.5,65.4,60.7
0.06,0.03,0.67,46.9,56.7,56.1,60.7
0.26,-0.26,0,49.5,56.7,43.8,47.1
0.05,-0.6,0,57.4,51.5,40.6,46.6
0.47,0.03,0.67,62.7,59.3,48.8,55.3
-0.03,-0.16,0,33.6,43.7,42.6,47.1
0.2,-0.55,0.67,60.1,61.9,48.7,49.8
-0.14,0.34,0.33,49.5,46.3,44.8,58
-0.41,0.34,0.67,52.1,38.5,57.9,52.6
-0.44,-0.22,0,44.2,33.3,40.9,47.1
0.28,0.03,0.67,62.7,67.1,65.6,61.8
-1.3,0.03,1,54.8,41.1,40.2,44.4
-0.16,0.03,1,57.4,57.3,64,58
0.46,-1.17,0.33,46.9,30.7,40.3,58
0.71,-0.06,0.67,44.2,37.8,49.2,39
0.2,-0.47,0.33,38.9,54.1,53.7,52.6
-0.84,-1.09,0.33,41.6,41.7,45.1,36.3
0.22,0.32,1,49.5,56.7,62.8,49.8
0.47,0.01,1,68,64.5,61.5,55.3
-0.82,-0.76,0,57.4,43.7,59.6,52.6
-2.23,1.19,1,36.3,38.5,39.3,39
0.09,-1.42,0.33,52.1,61.9,59.6,58
0.1,0.32,0.67,40,40.4,42.4,48.8
0.08,0.94,0.67,73.3,61.9,60.5,71.5
0.06,0.03,1,54.8,59.3,46.2,47.1
0.03,0.56,0.67,65.4,67.1,63,66.1
-0.61,0.03,0.33,44.2,54.1,40.3,52.6
0.02,0.03,0.33,62.7,54.1,64.7,58
0.46,0.03,1,52.1,56.7,62.8,47.1
0.94,-0.3,1,60.1,67.1,52.4,55.3
0.23,0.03,1,65.4,56.7,65.4,58
0.46,0.03,1,65.4,51.5,61.4,60.7
0.51,0.03,1,54.8,54.1,66.4,41.7
0.25,0.03,0.67,49.5,51.5,55.5,44.4
